loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1595775496.324618,1,0,461159.6788084167,0.265350341796875,-0.9130401611328125,-0.2391357421875,461159.6512164167,-0.07175514847040176,0.1472605615854263,0.07724578678607941
1595775496.345914,2,0,461159.7089084167,0.4284515380859375,-0.877838134765625,-0.311798095703125,461159.6813174167,0.1691043376922607,0.03254116326570511,0.07147099077701569
1595775496.376038,3,0,461159.7390084167,0.285552978515625,-0.9775390625,-0.3065948486328125,461159.7114174167,-0.0306061115115881,0.002835733816027641,-0.0568731352686882
1595775496.406002,4,0,461159.7691094167,0.2286376953125,-0.857513427734375,-0.2337646484375,461159.7415174167,0.08839058130979538,-0.2316867560148239,0.06901395320892334
1595775496.436203,5,0,461159.7992094167,0.358367919921875,-0.9223785400390625,-0.2296295166015625,461159.7716174167,0.0401812419295311,0.05271700769662857,-0.1144349649548531
1595775496.466271,6,0,461159.8293094167,0.398529052734375,-0.888885498046875,-0.31536865234375,461159.8017174167,-0.02966255508363247,0.1322166323661804,-0.02850248105823994
1595775496.496437,7,0,461159.8594094167,0.3385162353515625,-0.8995819091796875,-0.242034912109375,461159.8318174167,0.09988106042146683,-0.2328628152608871,0.08531862497329712
1595775496.526462,8,0,461159.8895094167,0.417236328125,-0.9219818115234375,-0.2096405029296875,461159.8619174167,0.02858663722872734,-0.09151393920183182,0.1175956055521965
1595775496.556708,9,0,461159.9196094167,0.313629150390625,-0.9056854248046875,-0.3266754150390625,461159.8920174167,-0.03614122793078423,0.1556734889745712,0.1370002031326294
1595775496.586518,10,0,461159.9497094167,0.2122650146484375,-0.92425537109375,-0.260040283203125,461159.9221174167,0.03249136358499527,-0.2701758146286011,0.07632779330015182
1595775496.617176,11,0,461159.9798094167,0.257720947265625,-0.8969879150390625,-0.2427978515625,461159.9522184167,0.0335017666220665,-0.1130887344479561,-0.08259181678295135
1595775496.646871,12,0,461160.0099094167,0.4605712890625,-0.8747711181640625,-0.334991455078125,461159.9823184167,0.1140400171279907,0.1453694403171539,-0.04627189040184021
1595775496.677063,13,0,461160.0400104167,0.3867034912109375,-0.8600616455078125,-0.2685089111328125,461160.0124184167,0.3461307883262634,-0.2184686958789825,-0.01385429687798023
1595775496.706938,14,0,461160.0701104167,0.2293243408203125,-0.9689788818359375,-0.252349853515625,461160.0425184167,-0.3027598559856415,-0.5273777842521667,-0.5629664063453674
1595775496.737205,15,0,461160.1002104167,0.353546142578125,-0.942718505859375,-0.2920684814453125,461160.0726184167,0.3511324524879456,-0.2644290030002594,-0.09803921729326248
1595775496.767325,16,0,461160.1303104167,0.279388427734375,-0.8582916259765625,-0.3204193115234375,461160.1027184167,0.04050428420305252,0.3194360435009003,0.5804921388626099
1595775496.797473,17,0,461160.1604104167,0.28961181640625,-0.8913421630859375,-0.2227630615234375,461160.1328184167,0.09799580276012421,-0.1882913410663605,-0.1313218027353287
1595775496.827358,18,0,461160.1905104167,0.142913818359375,-0.9979705810546875,-0.1819915771484375,461160.1629184167,0.1672350615262985,-0.2088272422552109,-0.2098669409751892
1595775496.857618,19,0,461160.2206104167,0.22198486328125,-0.9069671630859375,-0.1799468994140625,461160.1930184167,0.06878519058227539,0.0357193797826767,-0.02997654117643833
1595775496.887563,20,0,461160.2507104167,0.448089599609375,-0.8781585693359375,-0.234405517578125,461160.2231194167,0.08928274363279343,0.1998372077941895,0.009760218672454357
1595775496.917918,21,0,461160.2808104167,0.295318603515625,-0.944580078125,-0.2820281982421875,461160.2532194167,0.0298250075429678,0.2206878960132599,-0.01721946708858013
1595775496.947777,22,0,461160.3109114167,0.37139892578125,-0.927215576171875,-0.2171173095703125,461160.2833194167,-0.03883394971489906,-0.1632160842418671,-0.2910925447940826
1595775496.978007,23,0,461160.3410114167,0.2962799072265625,-0.9125518798828125,-0.2631683349609375,461160.3134194167,-0.01339996140450239,-0.02532639540731907,-0.2084576040506363
1595775497.00796,24,0,461160.3711114167,0.3025054931640625,-0.8451080322265625,-0.151458740234375,461160.3435194167,-0.1367493271827698,-0.3784855306148529,-0.4593449532985687
1595775497.038208,25,0,461160.4012114167,0.2939605712890625,-0.908203125,-0.1560211181640625,461160.3736194167,0.01342073362320662,-0.6635231375694275,-0.5863441824913025
1595775497.06857,26,0,461160.4313117917,0.1420135498046875,-0.9784393310546875,-0.0772552490234375,461160.4037194167,-0.1230955645442009,-0.365742564201355,-0.5295794606208801
1595775497.098907,27,0,461160.4614117917,0.209625244140625,-0.921173095703125,-0.1400299072265625,461160.4338197917,-0.1683583855628967,0.3754822611808777,-0.5055774450302124
1595775497.128339,28,0,461160.4915117917,0.410980224609375,-0.9970550537109375,-0.26251220703125,461160.4639197917,-0.1290535926818848,1.016963481903076,-0.3482863306999207
1595775497.158629,29,0,461160.5216117917,0.454315185546875,-0.8193817138671875,-0.237701416015625,461160.4940207917,-0.5567367672920227,1.154412984848022,-0.2786694467067719
1595775497.188671,30,0,461160.5517117917,0.5738372802734375,-0.6744384765625,-0.3312530517578125,461160.5241207917,-0.2840895056724548,0.9124104380607605,-0.5704906582832336
1595775497.218773,31,0,461160.5818127917,0.28875732421875,-0.773162841796875,-0.3150177001953125,461160.5542207917,-0.6573027968406677,1.360992789268494,-0.4182281494140625
1595775497.248692,32,0,461160.6119127917,0.22235107421875,-0.72320556640625,-0.2962188720703125,461160.5843207917,-1.390471577644348,2.261246204376221,-0.7450664639472961
1595775497.279283,33,0,461160.6420127917,0.634246826171875,-0.603729248046875,-0.215240478515625,461160.6144207917,-1.182069301605225,2.731668472290039,-0.7139641642570496
1595775497.309054,34,0,461160.6721127917,1.053115844726562,-0.6164703369140625,-0.1989898681640625,461160.6445207917,0.06000874191522598,1.402940988540649,-0.01239168830215931
1595775497.339268,35,0,461160.7022127917,0.7777099609375,-1.211502075195312,-0.3633575439453125,461160.6746207917,1.613808751106262,0.1121358573436737,0.4322915077209473
1595775497.369438,36,0,461160.7323127917,0.48968505859375,-0.82623291015625,-0.1739044189453125,461160.7047207917,0.05831364169716835,0.2861228287220001,-0.05063628032803535
1595775497.39944,37,0,461160.7624127917,0.378692626953125,-0.8896331787109375,-0.07891845703125,461160.7348207917,0.08563926815986633,1.739444136619568,0.2328702658414841
1595775497.429424,38,0,461160.7925127917,0.795654296875,-0.981689453125,0.109527587890625,461160.7649217917,0.905713677406311,1.57885205745697,0.6521404981613159
1595775497.459659,39,0,461160.8226127917,0.33843994140625,-0.7766571044921875,-0.0680084228515625,461160.7950217917,0.5355380177497864,1.572529554367065,0.7316036224365234
1595775497.490031,40,0,461160.8527137917,0.571136474609375,-0.9337158203125,-0.17706298828125,461160.8251217917,0.531996488571167,0.7028553485870361,-0.06035548448562622
1595775497.521664,41,0,461160.8828137917,0.462982177734375,-0.8951873779296875,-0.0376739501953125,461160.8552217917,0.3684520721435547,0.8827260136604309,0.1121246740221977
1595775497.549854,42,0,461160.9129137917,0.8820648193359375,-0.7026214599609375,-0.1104888916015625,461160.8853217917,0.4344856739044189,0.6770548820495605,0.08643689006567001
1595775497.582101,43,0,461160.9430137917,0.61126708984375,-0.9723663330078125,-0.3089752197265625,461160.9154217917,0.2587956190109253,0.5606508255004883,0.4721619486808777
1595775497.609971,44,0,461160.9731137917,0.4867706298828125,-0.826995849609375,0.0139617919921875,461160.9455217917,0.4544580578804016,-0.5946753621101379,0.3396241366863251
1595775497.642116,45,0,461161.0032137917,0.371368408203125,-0.6344451904296875,0.380218505859375,461160.9756217917,0.4767175614833832,-0.7611585855484009,-0.04434509575366974
1595775497.670396,46,0,461161.0333137917,0.3253631591796875,-1.153106689453125,0.2808685302734375,461161.0057217917,0.5865098237991333,0.1056989952921867,0.07795125991106033
1595775497.702508,47,0,461161.0634137917,0.2696685791015625,-0.886474609375,0.345703125,461161.0358217917,0.3067429065704346,0.03820730745792389,0.5407404899597168
1595775497.730413,48,0,461161.0935137917,0.5222320556640625,-0.6986083984375,0.3344268798828125,461161.0659227917,-0.3363577723503113,0.2780878245830536,0.144575297832489
1595775497.762608,49,0,461161.1236137917,0.542633056640625,-1.024444580078125,0.1302490234375,461161.0960227917,0.2258847951889038,0.9525900483131409,-0.04374641552567482
1595775497.790628,50,0,461161.1537147917,0.551361083984375,-0.989898681640625,0.213836669921875,461161.1261227917,-0.1569145172834396,0.4119398891925812,0.2100104838609695
1595775497.82246,51,0,461161.1838147917,0.50103759765625,-0.747955322265625,0.2331085205078125,461161.1562227917,-0.7975906133651733,0.07723220437765121,0.2277103960514069
1595775497.850793,52,0,461161.2139147917,0.49102783203125,-1.029022216796875,0.041534423828125,461161.1863227917,-0.4804840683937073,0.5952660441398621,0.05479959771037102
1595775497.881994,53,0,461161.2440147917,0.521881103515625,-0.9565887451171875,0.044677734375,461161.2164227917,-0.9175777435302734,0.3508253991603851,0.2724520266056061
1595775497.911027,54,0,461161.2741147917,0.496917724609375,-0.8029327392578125,0.14178466796875,461161.2465227917,-1.286435484886169,-0.01037807203829288,0.3903400599956512
1595775497.942076,55,0,461161.3042147917,0.552581787109375,-1.19720458984375,0.5013885498046875,461161.2766227917,-0.7236407995223999,0.4898535907268524,0.3432825207710266
1595775497.971365,56,0,461161.3343147917,0.4767303466796875,-0.9987030029296875,0.266387939453125,461161.3067227917,-1.758154511451721,1.423522233963013,0.5997417569160461
1595775498.002393,57,0,461161.3644147917,0.3184814453125,-0.9576263427734375,0.0131378173828125,461161.3368227917,-2.228198051452637,1.813773274421692,0.4456003904342651
1595775498.031294,58,0,461161.3945147917,0.6603546142578125,-0.4915313720703125,0.104888916015625,461161.3669237917,-2.457172393798828,2.128002166748047,-0.00800226628780365
1595775498.061981,59,0,461161.42461475,-0.1879425048828125,-0.8534698486328125,0.0519256591796875,461161.3970237917,-6.345928192138672,5.946940898895264,-0.7650955319404602
1595775498.091569,60,0,461161.4547147501,0.415130615234375,-0.1537017822265625,0.5961761474609375,461161.42712375,-5.417903900146484,4.936215877532959,-2.988179445266724
1595775498.122218,61,0,461161.48481575,0.767181396484375,0.348419189453125,0.0854644775390625,461161.45722375,-7.475859642028809,6.465910911560059,-1.118205428123474
1595775498.152038,62,0,461161.51491575,1.122421264648438,-0.5407562255859375,-0.0202789306640625,461161.48732375,-5.641948223114014,7.261519908905029,0.2149381339550018
1595775498.182203,63,0,461161.54501575,1.715530395507812,-0.4915313720703125,0.1442108154296875,461161.51742375,-5.620694637298584,7.53582763671875,-1.019006371498108
1595775498.212034,64,0,461161.57511575,1.73602294921875,-0.1340179443359375,-0.08392333984375,461161.5475237501,-6.498549938201904,6.527395725250244,-1.584658622741699
1595775498.260381,65,0,461161.6052157501,1.131851196289062,-0.5217742919921875,-0.2012786865234375,461161.57762375,-5.399324893951416,5.731757640838623,0.02985643222928047
1595775498.272643,66,0,461161.63531575,0.8791961669921875,-0.5377197265625,-0.7901611328125,461161.60772375,-4.32357120513916,5.761762142181396,0.05774478986859322
1595775498.321178,67,0,461161.66541575,1.576522827148438,0.7887725830078125,-0.4346466064453125,461161.63782375,-3.846625328063965,4.974589824676514,-0.05109327659010887
1595775498.332391,68,0,461161.69551575,3.013717651367188,1.4315185546875,0.176116943359375,461161.66792375,-0.8121954202651978,2.196190357208252,1.76980185508728
1595775498.378432,69,0,461161.72561575,1.213104248046875,-0.538543701171875,0.7678070068359375,461161.69802475,2.768682956695557,-3.122740268707275,2.993588209152222
1595775498.39266,70,0,461161.75571575,-0.057098388671875,-2.452499389648438,0.447296142578125,461161.72812475,1.051234602928162,-6.191684246063232,-1.511007308959961
1595775498.441436,71,0,461161.78581575,-0.49951171875,-0.9717254638671875,0.494659423828125,461161.7582247501,-0.4843941032886505,-4.487109184265137,-2.264194488525391
1595775498.452868,72,0,461161.8159167501,0.1713714599609375,0.18646240234375,0.28717041015625,461161.78832475,-1.932896733283997,2.865593910217285,1.626951217651367
1595775498.500954,73,0,461161.84601675,1.525711059570312,-0.1301727294921875,-0.1021728515625,461161.81842475,-0.6640653610229492,5.288116931915283,2.369797706604004
1595775498.513039,74,0,461161.87611675,1.847198486328125,-0.805694580078125,-0.62335205078125,461161.84852475,0.7995589971542358,3.439108848571777,1.413603544235229
