loggingTime,loggingSample,identifierForVendor,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
1596229852.803687,1,0,102185.004567375,2.685225961341496,-1.214156145839037,1.206575131174822,0.03997242823243141,-0.3794609606266022,-0.0589170977473259,-0.03880912065505981,0.06939542293548584,-0.1065952777862549,2,0.5629988273842991,0.3476333143885875,0.5855894766294562,0.468260877830489,-0.3338062167167664,-0.9344014525413513,-0.1243667975068092,-29.77794647216797,-39.43093109130859,12.520751953125,2
1596229852.842939,2,0,102185.034664375,2.684194984840321,-1.221718889525759,1.208252496281677,-0.01453871838748455,-0.1607927680015564,-0.02290005050599575,0.004083395004272461,-0.01270318031311035,0.04339110851287842,2,0.5652495759267757,0.3461814422506524,0.5827448294727933,0.4701699940599551,-0.3332642912864685,-0.9349976778030396,-0.1213026493787766,-29.57831573486328,-39.55368041992188,12.86468505859375,2
1596229852.861472,3,0,102185.064761375,2.68231757932558,-1.223861967579453,1.208665314278174,-0.02688416838645935,-0.07375290989875793,-0.04199696704745293,-0.04247015714645386,0.02048039436340332,0.0207136869430542,2,0.5661639927002224,0.3452969640446751,0.5815807672596541,0.4711601750624535,-0.3331598341464996,-0.9351440072059631,-0.1204566806554794,-29.63041687011719,-39.37112426757812,12.96270751953125,2
1596229852.891721,4,0,102185.094858375,2.67889700829666,-1.219790927759566,1.208409947874671,-0.02950323931872845,0.09462174028158188,0.01340167876332998,-0.001482576131820679,0.00184929370880127,0.0258326530456543,2,0.5655910575832079,0.3451950815346356,0.5819984413399285,0.4714072949224762,-0.3328912556171417,-0.9350535273551941,-0.1218942254781723,-29.58084869384766,-39.57929229736328,12.90582275390625,2
1596229852.921613,5,0,102185.124955375,2.676911487831533,-1.215940472032499,1.208414616493131,-0.02134088426828384,0.036894291639328,-0.01097376178950071,-0.02029058337211609,0.01785761117935181,0.001753568649291992,2,0.564812474917358,0.3455431687641748,0.5826173058327566,0.4713212954913456,-0.3324153423309326,-0.935055136680603,-0.1231735721230507,-29.60441589355469,-39.64570617675781,12.60537719726562,2
1596229852.953544,6,0,102185.155053375,2.676052280151142,-1.213521752292881,1.208445806269682,-0.002375354990363121,0.06801169365644455,-0.01403938140720129,-0.01293092966079712,0.006791234016418457,-0.00603330135345459,2,0.5642536295055181,0.3458820143041352,0.5830886700991159,0.4711590816332717,-0.3320888876914978,-0.9350662231445312,-0.1239669471979141,-29.78205108642578,-39.28146362304688,12.6251220703125,2
1596229852.983957,7,0,102185.185150375,2.674773425719482,-1.211229580095375,1.20887171824948,-0.02807708084583282,-0.005418142303824425,-0.02179459109902382,0.01461619138717651,0.01187288761138916,-0.01352202892303467,2,0.5637726877200921,0.346217385636899,0.5833141025995761,0.4712095363252589,-0.3314312398433685,-0.9352170825004578,-0.1245877593755722,-29.38957977294922,-39.34488677978516,12.78173828125,2
1596229853.030267,8,0,102185.215247375,2.672501885981577,-1.209810936331511,1.208988955166851,-0.02310445532202721,-0.02819938212633133,-0.004463216755539179,0.02235880494117737,0.01575994491577148,0.005958199501037598,2,0.5637428208393636,0.3459544550628575,0.5831455520380751,0.471646805920074,-0.3311516046524048,-0.9352586269378662,-0.1250190883874893,-29.43489074707031,-39.47976684570312,12.58035278320312,2
1596229853.041907,9,0,102185.245344375,2.670407291878838,-1.208359473828136,1.209269993570744,0.02192623540759087,-0.02632322162389755,-0.03886705636978149,-0.009186863899230957,0.005881249904632568,-0.007000386714935303,2,0.5636599109645388,0.3458095301592459,0.5829814828706689,0.4720549839776128,-0.3307243585586548,-0.9353580474853516,-0.1254065483808517,-29.62554931640625,-39.47737121582031,12.71087646484375,2
1596229853.086986,10,0,102185.275441375,2.674396911415162,-1.21283684167698,1.211610559001376,0.0877886638045311,-0.008350679650902748,-0.07154004275798798,0.02123641967773438,0.02731651067733765,0.02146708965301514,2,0.5640886590050377,0.3467353434885371,0.5820010501424957,0.4720735560528098,-0.3292312026023865,-0.9361833333969116,-0.1231571733951569,-29.30808258056641,-39.40798187255859,12.6689453125,2
1596229853.102116,11,0,102185.305538375,2.680652248936605,-1.217559665306609,1.214933707091479,0.07285889983177185,0.1062903329730034,-0.08165936917066574,0.02664399147033691,0.02216267585754395,0.01321375370025635,2,0.5641061075352134,0.3486005263771355,0.5812086159795881,0.4716550979173652,-0.326888233423233,-0.9373462796211243,-0.1205239444971085,-29.30259704589844,-39.66104888916016,12.97103881835938,2
1596229853.146633,12,0,102185.335635375,2.68066727304279,-1.215804205374423,1.217303309478811,0.07998076826334,-0.1238517463207245,-0.05871205776929855,-0.001820832490921021,-0.01119798421859741,-0.1058234572410583,2,0.5633991072895358,0.3498840853321805,0.5810391525980595,0.4717584078595328,-0.3245923519134521,-0.9381692409515381,-0.1203251481056213,-29.41676330566406,-39.67917633056641,12.81439208984375,2
1596229853.16246,13,0,102185.365732375,2.6807882386583,-1.222639710779584,1.222387503101611,-0.03534666448831558,-0.394389271736145,-0.05106629803776741,0.08521610498428345,0.0219610333442688,-0.016387939453125,2,0.5649366259845111,0.3501560776907652,0.5777045899614448,0.4738085327800611,-0.3209190964698792,-0.9399171471595764,-0.1164746582508087,-29.18053436279297,-39.73124694824219,13.01605224609375,2
1596229853.206872,14,0,102185.395830375,2.686948636217126,-1.235596585480263,1.222688234252517,0.08356714993715286,-0.1597865521907806,-0.03730494901537895,-0.07143485546112061,0.03299009799957275,-0.0772087574005127,2,0.5675695152794532,0.3489381611595263,0.575411827037234,0.4743502408585014,-0.3221346139907837,-0.9400197863578796,-0.1122140064835548,-29.17316436767578,-39.96060180664062,13.08822631835938,2
1596229853.222414,15,0,102185.425927375,2.686783762234665,-1.239438320558121,1.22628199868092,0.04127223789691925,-0.05836211144924164,-0.1225137561559677,-0.136480450630188,-0.002943873405456543,0.04034030437469482,2,0.5683879784486223,0.349280947981597,0.5732697579053293,0.4757095555788615,-0.3193667232990265,-0.941239595413208,-0.109875850379467,-29.03913116455078,-40.00823211669922,13.28973388671875,2
1596229853.254026,16,0,102185.456024375,2.682281529172076,-1.235349509232082,1.231286946099547,-0.009325722232460976,0.01680505275726318,-0.2447027266025543,-0.1166246831417084,0.03308975696563721,0.01137226819992065,2,0.5675677825060388,0.3507885280637638,0.571944829195053,0.4771719030081526,-0.3144620656967163,-0.9429181814193726,-0.109628438949585,-28.73673248291016,-39.884033203125,13.47817993164062,2
1596229853.283692,17,0,102185.486121375,2.67383420710589,-1.226212941112906,1.238173861102407,-0.01387599855661392,0.09432647377252579,-0.1778454035520554,0.06453108787536621,0.01537168025970459,0.03298890590667725,2,0.5658512252511776,0.3530750072243948,0.570557939492212,0.4791805498004172,-0.307328462600708,-0.9451892971992493,-0.1103008612990379,-28.51446533203125,-40.22721099853516,13.50787353515625,2
1596229853.327573,18,0,102185.516218375,2.673241235874836,-1.224186857428152,1.241451627018239,0.06590757519006729,-0.01088841818273067,-0.1322760730981827,0.0234619677066803,0.02136433124542236,-0.08324623107910156,2,0.5650989241886342,0.3545814996755952,0.5700531839766895,0.4795566200180584,-0.3041890561580658,-0.9462544918060303,-0.1098703294992447,-28.26954650878906,-40.33272552490234,13.28839111328125,2
1596229853.343033,19,0,102185.546315375,2.679863212009775,-1.228949060371632,1.246456829828786,0.1840938478708267,0.1114821881055832,-0.09798591583967209,0.02426895499229431,0.00979381799697876,-0.09822767972946167,2,0.5648432705735821,0.3571224262060391,0.5688651723828873,0.479382893654116,-0.3002425730228424,-0.9478614330291748,-0.1068313047289848,-28.07982635498047,-40.38923645019531,13.5989990234375,2
1596229853.386087,20,0,102185.576412375,2.6957796133013,-1.241333135945628,1.250068822187562,0.2474647164344788,0.02912143245339394,-0.03208525851368904,0.04941648244857788,0.01554685831069946,0.02194929122924805,2,0.5651834425173261,0.3599573978503706,0.5681457353118375,0.4777119751708614,-0.2983012199401855,-0.9490063190460205,-0.1019966974854469,-28.02825164794922,-40.19561767578125,13.43731689453125,2
1596229853.403059,21,0,102185.606510375,2.720846147801514,-1.264248978666873,1.252386347167326,0.2125048637390137,-0.04051651060581207,0.03238643333315849,0.08758914470672607,-0.01170015335083008,0.09040284156799316,2,0.5669347956219744,0.3624218488612133,0.5669756835230401,0.4751566127154166,-0.2984622120857239,-0.9497343897819519,-0.09447067975997925,-28.09348297119141,-40.28197479248047,14.13916015625,2
1596229853.449805,22,0,102185.636607375,2.73241198086015,-1.278956696752438,1.251459617102096,0.08863088488578796,-0.2795209586620331,0.1377797573804855,0.1265161633491516,-0.01297116279602051,0.0601845383644104,2,0.569101172141376,0.3618864133544271,0.5658038397443758,0.4743712016280654,-0.3006622791290283,-0.9494438767433167,-0.09032415598630905,-27.96002197265625,-40.27754211425781,14.00442504882812,2
1596229853.463259,23,0,102185.666704375,2.738170159627606,-1.297001165455739,1.247395797713686,-0.1284500807523727,-0.4914782345294952,0.183987557888031,0.09171885251998901,-0.009862244129180908,0.1300387382507324,2,0.5735909006831497,0.3578127811373329,0.5631464150648264,0.475215234891748,-0.3059551417827606,-0.9481602311134338,-0.08592698723077774,-28.12830352783203,-39.79438781738281,14.82449340820312,2
